,label,title,description,generated_description
10,4,Group to Propose New High-Speed Wireless Format," LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.",The group is proposing a new high-speed wireless format that will allow users to connect to the Internet at a faster speed.
11,4,"Apple Launches Graphics Software, Video Bundle", LOS ANGELES (Reuters) - Apple Computer Inc.&lt;AAPL.O&gt; on  Tuesday began shipping a new program designed to let users  create real-time motion graphics and unveiled a discount  video-editing software bundle featuring its flagship Final Cut  Pro software.,Apple Computer Inc. today announced that it has launched a new graphics software and video bundle for its Mac computers.
12,4,Dutch Retailer Beats Apple to Local Download Market," AMSTERDAM (Reuters) - Free Record Shop, a Dutch music  retail chain, beat Apple Computer Inc. to market on Tuesday  with the launch of a new download service in Europe's latest  battleground for digital song services.",Dutch retailer e-commerce giant Apple Inc. has beaten the likes of Apple Inc. and Amazon Inc. to the local download market.
13,4,Super ant colony hits Australia,"A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.","Australia #39;s first super ant colony, the ant colony, has arrived in Australia."
14,4,Socialites unite dolphin groups,"Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.",Socialites have united the dolphin groups in a bid to save the world #39;s largest whale.
15,4,Teenage T. rex's monster growth,Tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years.,The rex is a teetotal teetotal teetotal teetotal teetotal teetotal teetotal teetotal teetotal teetotal teetotal teetotal teetotal teetotal teetotal teetotal teetotal teetotal teetotal
16,4,Scientists Discover Ganymede has a Lumpy Interior,"Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...","Scientists have discovered that the rocky ganymede has a Lumpy Interior, a new discovery that could help scientists better understand the physics behind the rocky crater."
17,4,Mars Rovers Relay Images Through Mars Express,"European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...","NASA has launched a new mission to retrieve images of the Mars Express, a satellite that aims to help scientists understand the planet's gravity and how it works."
18,4,Rocking the Cradle of Life,"When did life begin? One evidential clue stems from the fossil records in Western Australia, although whether these layered sediments are biological or chemical has spawned a spirited debate. Oxford researcher, Nicola McLoughlin, describes some of the issues in contention.",The soaring peaks of the Rocky Mountains are a reminder that life is not easy. It is a journey of discovery.
19,4,"Storage, servers bruise HP earnings","update Earnings per share rise compared with a year ago, but company misses analysts' expectations by a long shot.","HP Inc. said on Tuesday that its storage and servers business was a bit of a sluggish one, but the company said it would continue to grow its revenue."
20,4,IBM to hire even more new workers,"By the end of the year, the computing giant plans to have its biggest headcount since 1991.","IBM will hire more people to help it grow its business, the company said on Thursday."
21,4,Sun's Looking Glass Provides 3D View,Developers get early code for new operating system 'skin' still being crafted.,"Sun Microsystems Inc. has launched a new looking glass that provides 3D views of the sun's horizon, a new technology that could help the company make more money."
22,4,IBM Chips May Someday Heal Themselves,New technology applies electrical fuses to help identify and repair faults.,"IBM is preparing to release a new chip that could help the company's chipsets, which are designed to be used in computers and other devices."
23,4,Some People Not Eligible to Get in on Google IPO,"Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.",SAN FRANCISCO (Reuters) - Some people who are not eligible to get in on the Google IPO are reportedly not eligible to get in on the IPO.
24,4,Rivals Try to Turn Tables on Charles Schwab,"By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...",The rivals of Charles Schwab and Charles Schwab are trying to turn the tables on the upcoming financial crisis.
25,4,News: Sluggish movement on power grid cyber security,Industry cyber security standards fail to reach some of the most vulnerable components of the power grid.\,"The U.S. government is rushing to secure its power grids, but it hasn't been able to move forward with its plans to secure the grid."
26,2,Giddy Phelps Touches Gold for First Time,Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 8.26 seconds.,"The world #39;s top golfer, Giddy Phelps, has reached the gold medal for the first time in his career."
27,2,Tougher rules won't soften Law's game,"FOXBOROUGH -- Looking at his ridiculously developed upper body, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical play over finesse. That's not to imply that he's lacking a finesse component, because he can shut down his side of the field much as Deion Sanders ...","The new rules will not soften the game of golf, but it will help the team to win the championship."
28,2,Shoppach doesn't appear ready to hit the next level,"With the weeks dwindling until Jason Varitek enters free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can make the adjustments at the plate ...","Shoppach Inc., the world #39;s largest retailer, said it was not ready to take on the next level of competition."
29,2,Mighty Ortiz makes sure Sox can rest easy,"Just imagine what David Ortiz could do on a good night's rest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barely 1 month old. He had planned on attending the Red Sox' Family Day at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...","The Boston Red Sox have a chance to rest easy on the road, but they need to be careful about what they do."
30,2,They've caught his eye,"In  quot;helping themselves, quot; Ricky Bryant, Chas Gessner, Michael Jennings, and David Patten did nothing Friday night to make Bill Belichick's decision on what to do with his receivers any easier.","The spokesman for the United States Army said Wednesday that the team had caught the eye of the former Navy captain, who was a member of the U.S. Army."
31,2,Indians Mount Charge,"The Cleveland Indians pulled within one game of the AL Central lead by beating the Minnesota Twins, 7-1, Saturday night with home runs by Travis Hafner and Victor Martinez.","The Indians are averaging.257 batting average and.246 rushing yards in the first half of the season, and the Indians have a.338 batting average."
32,1,Sister of man who died in Vancouver police custody slams chief (Canadian Press),Canadian Press - VANCOUVER (CP) - The sister of a man who died after a violent confrontation with police has demanded the city's chief constable resign for defending the officer involved.,"Canadian Press - A sister of a man who died in custody in Vancouver, Canada, slammed the chief of police for a lack of compassion for her."
33,1,"Man Sought  #36;50M From McGreevey, Aides Say (AP)","AP - The man who claims Gov. James E. McGreevey sexually harassed him was pushing for a cash settlement of up to  #36;50 million before the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.","AP - The man who has been a key player in the NFL for the past two seasons is being sought by his former teammate, John McGreevey, for a reported #36;50 million bid."
34,1,Explosions Echo Throughout Najaf,"NAJAF, Iraq - Explosions and gunfire rattled through the city of Najaf as U.S. troops in armored vehicles and tanks rolled back into the streets here Sunday, a day after the collapse of talks - and with them a temporary cease-fire - intended to end the fighting in this holy city...","SAN FRANCISCO (Reuters) - Explosions erupt in the northern city of Najaf, a spokesman for the Islamic State said on Thursday."
35,1,Frail Pope Celebrates Mass at Lourdes,"LOURDES, France - A frail Pope John Paul II, breathing heavily and gasping at times, celebrated an open-air Mass on Sunday for several hundred thousand pilgrims, many in wheelchairs, at a shrine to the Virgin Mary that is associated with miraculous cures.    At one point he said ""help me"" in Polish while struggling through his homily in French...","The Pope of Lourdes celebrated Mass on Sunday at the Lourdes Cathedral, a place where he was buried."
36,1,Venezuela Prepares for Chavez Recall Vote,Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.,"Venezuela #39;s president, Hugo Chavez, is preparing to resign from his post as president."
37,1,1994 Law Designed to Preserve Guard Jobs (AP),AP - A 1994 law strengthened job protections for National Guard and Reserve troops called to active duty. Here are major provisions of the Uniformed Services Employment and Reemployment Rights Act (USERRA).,AP - A new law was passed in 1994 that would have protected the jobs of the guards who were drafted into the military.
38,1,Iran Warns Its Missiles Can Hit Anywhere in Israel," TEHRAN (Reuters) - A senior Iranian military official said  Sunday Israel and the United States would not dare attack Iran  since it could strike back anywhere in Israel with its latest  missiles, news agencies reported.","Iran warned its missiles could hit anywhere in Israel if it had a nuclear weapon, a statement from the United Nations said on Thursday."
39,1,Afghan Army Dispatched to Calm Violence,"KABUL, Afghanistan - Government troops intervened in Afghanistan's latest outbreak of deadly fighting between warlords, flying from the capital to the far west on U.S. and NATO airplanes to retake an air base contested in the violence, officials said Sunday...","Afghan troops were dispatched to calm the violence in the capital, where they were battling a slew of militants."
40,2,Johnson Helps D-Backs End Nine-Game Slide (AP),"AP - Randy Johnson took a four-hitter into the ninth inning to help the Arizona Diamondbacks end a nine-game losing streak Sunday, beating Steve Trachsel and the New York Mets 2-0.","AP - The Washington Redskins have been a tough team to beat, but the Redskins have been a tough team to beat."
41,3,Retailers Vie for Back-To-School Buyers (Reuters),"Reuters - Apparel retailers are hoping their\back-to-school fashions will make the grade among\style-conscious teens and young adults this fall, but it could\be a tough sell, with students and parents keeping a tighter\hold on their wallets.","Reuters - Retailers are urging shoppers to buy back-to-school products, a move that could help the economy."
42,1,Politics an Afterthought Amid Hurricane (AP),"AP - If Hurricane Charley had struck three years ago, President Bush's tour through the wreckage of this coastal city would have been just the sort of post-disaster visit that other presidents have made to the scenes of storms, earthquakes, floods and fires.","AP - Politics is an afterthought in the wake of Hurricane Ivan, which has left the nation with little to no hope of a recovery."
43,4,Spam suspension hits Sohu.com shares (FT.com),"FT.com - Shares in Sohu.com, a leading US-listed Chinese internet portal, fell more than 10 per cent on Friday after China's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.","FT.com - Sohu.com Inc., the world #39;s largest online retailer, has been suspended for violating a federal law that prohibits the use of spam emails by its customers."
44,2,Erstad's Double Lifts Angels to Win (AP),"AP - Darin Erstad doubled in the go-ahead run in the eighth inning, lifting the Anaheim Angels to a 3-2 victory over the Detroit Tigers on Sunday. The win pulled Anaheim within a percentage point of Boston and Texas in the AL wild-card race.","AP - The Angels won their first game of the season, beating the Los Angeles Dodgers 3-2 on Sunday night."
45,2,Drew Out of Braves' Lineup After Injury (AP),AP - Outfielder J.D. Drew missed the Atlanta Braves' game against the St. Louis Cardinals on Sunday night with a sore right quadriceps.,AP - The Braves have recalled Drew Brees from their starting lineup after a knee injury.
46,1,"Venezuelans Flood Polls, Voting Extended"," CARACAS, Venezuela (Reuters) - Venezuelans voted in huge  numbers on Sunday in a historic referendum on whether to recall  left-wing President Hugo Chavez and electoral authorities  prolonged voting well into the night.","Venezuelans have flooded the polls in the country #39;s capital, Venezuela #39;s largest city, and the presidential election is set to be extended."
47,4,Dell Exits Low-End China Consumer PC Market," HONG KONG (Reuters) - Dell Inc. &lt;DELL.O&gt;, the world's  largest PC maker, said on Monday it has left the low-end  consumer PC market in China and cut its overall growth target  for the country this year due to stiff competition in the  segment.","Dell Corp., the world #39;s largest computer maker, said on Tuesday it will exit the low-end China consumer PC market, citing a lack of demand for its products."
48,1,China Says Taiwan Spy Also Operated in U.S. - Media," BEIJING (Reuters) - Beijing on Monday accused a  Chinese-American arrested for spying for Taiwan of building an  espionage network in the United States, and said he could go on  trial very soon.","China says a Taiwanese spy also operated in the United States, a report said on Thursday."
49,2,Another Major Non-Factor,"Another major, another disappointment for Tiger Woods, the No. 1 ranked player in the world who has not won a major championship since his triumph at the 2002 U.S. Open.",The $1 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $3 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $2 billion $.
50,1,US fighter squadron to be deployed in South Korea next month (AFP),"AFP - A squadron of US Air Force F-15E fighters based in Alaska will fly to South Korea next month for temporary deployment aimed at enhancing US firepower on the Korean peninsula, US authorities said.","AFP - A US fighter squadron will be deployed in South Korea next month, the military said on Thursday."
51,2,Johnson Back to His Best as D-Backs End Streak, NEW YORK (Reuters) - Randy Johnson struck out 14 batters in  8 1/3 innings to help the Arizona Diamondbacks end a nine-game  losing streak with a 2-0 win over the host New York Mets in the  National League Sunday.,"The New York Giants have a new quarterback in the starting lineup, and they are back to their best."
52,1,Restive Maldives eases curfew after rounding up dissidents (AFP),"AFP - A curfew in the capital of the Maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last week's riots, officials and residents said.",AFP - The restive Maldives eased its curfew after a group of dissidents were arrested and a policeman was arrested on Friday.
53,4,Vodafone hires Citi for Cesky bid (TheDeal.com),TheDeal.com - The U.K. mobile giant wants to find a way to disentagle the Czech wireless and fixed-line businesses.,TheDeal.com - Vodafone has hired Citigroup Inc. to help it bid for Cesky Inc.
54,3,Dollar Briefly Hits 4-Wk Low Vs Euro," LONDON (Reuters) - The dollar dipped to a four-week low  against the euro on Monday before rising slightly on  profit-taking, but steep oil prices and weak U.S. data  continued to fan worries about the health of the world's  largest economy.","The dollar slipped to a 4-week low against the euro on Tuesday, a day after the dollar slid to a four-week low against the euro."
55,4,Promoting a Shared Vision,"As Michael Kaleko kept running into people who were getting older and having more vision problems, he realized he could do something about it.",The United Nations is a global organization that is committed to promoting a shared vision for the future of the world.
56,1,India's Tata expands regional footprint via NatSteel buyout (AFP),AFP - India's Tata Iron and Steel Company Ltd. took a strategic step to expand its Asian footprint with the announcement it will buy the Asia-Pacific steel operations of Singapore's NatSteel Ltd.,"AFP - Tata Motors Corp., the world #39;s largest automaker, said it will expand its regional footprint by buying NatSteel, the world #39;s largest automaker, on Tuesday."
57,1,Delegates Urge Cleric to Pull Out of Najaf,"BAGHDAD, Iraq - Delegates at Iraq's National Conference called on radical Shiite cleric Muqtada al-Sadr to abandon his uprising against U.S. and Iraqi troops and pull his fighters out of a holy shrine in Najaf...","SAN FRANCISCO (Reuters) - The United States delegation to the United Nations on Monday called on the leader of the Islamic State to pull out of Najaf, citing the threat of a military coup."
58,3,Treasuries Slip as Stocks Rally," NEW YORK (Reuters) - U.S. Treasury debt prices slipped on  Monday, though traders characterized the move as profit-taking  rather than any fundamental change in sentiment.","NEW YORK (Reuters) - Treasuries fell on Friday as stocks rallied, a day after the Dow Jones Industrial Average climbed a little more than a quarter to a new record high."
59,3,Dollar Rises Vs Euro on Asset Flows Data, NEW YORK (Reuters) - The dollar extended gains against the  euro on Monday after a report on flows into U.S. assets showed  enough of a rise in foreign investments to offset the current  account gap for the month.,"The dollar rose against the euro on Thursday, despite a weaker dollar and a stronger dollar."
60,2,"Sutton Adds Haas, Cink to Ryder Cup Team", MILWAUKEE (Sports Network) - U.S. Ryder Cup captain Hal  Sutton finalized his team on Monday when he announced the  selections of Jay Haas and Stewart Cink as his captain's picks.,"Sutton has added Haas and Cink to the Ryder Cup team, a move that will see the former world number one play in the final of the Ryder Cup."
61,2,Haas and Cink Selected for Ryder Cup Team,Jay Haas joined Stewart Cink as the two captain's picks for a U.S. team that will try to regain the cup from Europe next month.,SAN FRANCISCO (Reuters) - The Ryder Cup team has been selected by the US Open to play in the Ryder Cup.
62,2,Natalie Coughlin Wins 100M Backstroke (AP),"AP - American Natalie Coughlin won Olympic gold in the 100-meter backstroke Monday night. Coughlin, the only woman ever to swim under 1 minute in the event, finished first in 1 minute, 0.37 seconds. Kirsty Coventry of Zimbabwe, who swims at Auburn University in Alabama, earned the silver in 1:00.50. Laure Manaudou of France took bronze in 1:00.88.","AP - Natalie Coughlin, who won the 100m backstroke at the Olympic Games in Atlanta, won the 100m backstroke at the Olympic Games on Saturday."
63,4,Oracle Overhauls Sales-Side Apps for CRM Suite (NewsFactor),"NewsFactor - Oracle (Nasdaq: ORCL) has revamped its sales-side CRM applications in version 11i.10 of its sales, marketing, partner relationship management and e-commerce application.","NewsFactor - Oracle Corp. has announced that it will overhaul its sales-side applications for its CRM Suite suite, which includes a new version of the software that allows users to create and manage sales-side applications."
64,1,UN launches 210-million-dollar appeal for flood-hit Bangladesh (AFP),"AFP - The United Nations launched an appeal here for 210 million dollars to help flood victims facing ""grave"" food shortages after two-thirds of Bangladesh was submerged, destroying crops and killing more than 700 people.","AFP - The United Nations launched a 210-million-dollar appeal for relief in Bangladesh after a flood in the country's capital, the capital, was hit by a devastating flood."
65,4,Indian state rolls out wireless broadband,Government in South Indian state of Kerala sets up wireless kiosks as part of initiative to bridge digital divide.,"India has launched a new wireless broadband service that will allow users to connect to the Internet via a mobile phone, a government official said on Thursday."
66,1,"Hurricane Survivors Wait for Water, Gas","PUNTA GORDA, Fla. - Urban rescue teams, insurance adjusters and National Guard troops scattered across Florida Monday to help victims of Hurricane Charley and deliver water and other supplies to thousands of people left homeless...","SAN FRANCISCO (Reuters) - Hurricanes Harvey and Maria have shook the Gulf Coast, causing a slew of people to wait for water and gas to fill their homes."
67,1,Jackson Squares Off With Prosecutor,"SANTA MARIA, Calif. - Fans of Michael Jackson erupted in cheers Monday as the pop star emerged from a double-decker tour bus and went into court for a showdown with the prosecutor who has pursued him for years on child molestation charges...",The spokesman for the New York City Prosecutor's Office said Wednesday that he was quot;shocked and quot; by the decision to step down.
68,2,Bobcats Trade Drobnjak to Hawks for Pick (AP),AP - The Charlotte Bobcats traded center Predrag Drobnjak to the Atlanta Hawks on Monday for a second round pick in the 2005 NBA draft.,AP - The Bobcats traded forward Jared Drobnjak to the Hawks for a pick in the first round of the NBA draft.
69,1,"Suspect charged in abduction, sexual assault of 11-year-old girl (Canadian Press)","Canadian Press - LANGLEY, B.C. (CP) - Police have arrested a man in the kidnapping and sexual assault of an 11-year-old girl that frightened this suburban Vancouver community last week.",Canadian Press - A man accused of abducting and sexually assaulting an 11-year-old girl in Toronto has been charged with a felony.
70,4,China's Red Flag Linux to focus on enterprise,"Red Flag Software Co., the company behind China's leading Linux client distribution, plans to focus more on its server operating system and enterprise customers, the company's acting president said.","China's Red Flag Linux will focus on enterprise applications, a move that will help it compete with the US and Europe."
71,4,AOL Properties Sign Girafa For Thumbnail Search Images,"AOL Properties Sign Girafa For Thumbnail Search Images\\Girafa.com Inc. announced today that the CompuServe, Netscape, AIM and ICQ properties of America Online, Inc., have signed an agreement with Girafa to use Girafa's thumbnail search images as an integrated part of their search results.\\Using Girafa's thumbnail search service, search users can ...",AOL Properties has signed a deal with the Spanish-based company to provide a new image search service for its website.
72,4,Cassini Spies Two Little Saturn Moons (AP),"AP - NASA's Cassini spacecraft has spied two new little moons around satellite-rich Saturn, the space agency said Monday.","AP - Cassini has spied two small Saturn moons, one of which is a planet that orbits the sun."
73,1,On front line of AIDS in Russia,An industrial city northwest of Moscow struggles as AIDS hits a broader population.,"AIDS is a serious disease that has been affecting millions of people in Russia since the 1980s, and it is affecting more than a third of the population."
74,4,Nobel Laureate Decries Stem Cell Limits (AP),"AP - A Nobel laureate in medicine said Monday the Bush administration's limits on funding for embryonic stem cell research effectively have stopped the clock on American scientists' efforts to develop treatments for a host of chronic, debilitating diseases.","AP - Nobel laureate Robert Wood Johnson has withdrawn his nomination for the Nobel Prize in biochemistry, saying he is not a ""stupid"" person."
75,2,Jury Can Hear of Kobe Accuser's Sex Life (AP),"AP - Prosecutors suffered another setback Monday in the Kobe Bryant sexual assault case, losing a last-ditch attempt to keep the NBA star's lawyers from telling jurors about the alleged victim's sex life.","AP - A jury in Tokyo heard the case of a man accused of sexually assaulting a woman in a sex life, and a judge could hear the case."
76,1,"North Korea Talks Still On, China Tells Downer (Reuters)","Reuters - China has said no date has been set for\working-level talks on the North Korean nuclear crisis and gave\no indication that the meeting has been canceled, Australian\Foreign Minister Alexander Downer said on Tuesday.","Reuters - North Korea's leader, Kim Jong Un, said on Thursday that talks with China are still ongoing, but he said he was not sure what to do about it."
77,2,Griffin to Anchor D-Line,"The Redskins expect huge things from 300-pound Cornelius Griffin, who was signed to aid the team's weakest unit - the defensive line.","The NFL announced that the new coach, Mike Griffin, will anchor the D-Line in the NFL."
78,1,Last American defector in North Korea agrees to tell story (AFP),"AFP - The last surviving American defector to communist North Korea wants to tell his story to put a human face on the Stalinist state which he believes is unfairly vilified abroad, British film-makers said.","AFP - The last American defector in North Korea agreed to tell a story about his experiences in the country's north, a senior North Korean official said on Thursday."
79,1,Live: Olympics day four,Richard Faulds and Stephen Parry are going for gold for Great Britain on day four in Athens.,"The Olympic Games are now in its fourth day, and the world #39;s biggest sporting event is set to begin on Sunday."
80,1,"Kerry Widens Lead in California, Poll Finds (Reuters)","Reuters - Democratic challenger John Kerry\has a commanding lead over President Bush in California of 54\percent to 38 percent among likely voters, a poll released on\Tuesday found.","Reuters - Republican presidential candidate John Kerry has a widening lead in California, a new poll shows."
81,2,Capacity Crowds at Beach Volleyball Rock the Joint," ATHENS (Reuters) - At the beach volleyball, the 2004  Olympics is a sell-out, foot-stomping success.","The swell of spectators at the beach volleyball tournament in Miami, Florida, shook the joint on Saturday as the two teams battled for a spot in the final of the season."
82,3,"Dollar Near Recent Lows, Awaits ZEW/CPI", LONDON (Reuters) - The dollar held steady near this week's  four-week low against the euro on Tuesday with investors  awaiting a German investor confidence survey and U.S. consumer  inflation numbers to shed light on the direction.,"The dollar slipped to a new low on Monday, as investors waited for a ZEW/CPI report to be released."
83,3,Intel to delay product aimed for high-definition TVs,"SAN FRANCISCO -- In the latest of a series of product delays, Intel Corp. has postponed the launch of a video display chip it had previously planned to introduce by year end, putting off a showdown with Texas Instruments Inc. in the fast-growing market for high-definition television displays.","Intel Corp. said on Tuesday it will delay a product that will be designed for high-definition TVs, a move that could lead to a delay in the release of the new product."
84,1,Venezuela vote keeps Chavez as president,CARACAS -- Venezuelans voted resoundingly to keep firebrand populist Hugo Chavez as their president in a victory that drew noisy reactions yesterday from both sides in the streets. International observers certified the results as clean and accurate.,"Venezuela #39;s vote on Tuesday kept President Hugo Chavez as president, despite the fact that he was elected president in the first round of the presidential election."
85,1,Jailing of HK democrat in China 'politically motivated' (AFP),AFP - Hong Kong democrats accused China of jailing one of their members on trumped-up prostitution charges in a bid to disgrace a political movement Beijing has been feuding with for seven years.,"AFP - A HK politician has been jailed for a year after he was convicted of a sex offence in China, a court heard on Monday."
86,3,Kmart Swings to Profit in 2Q; Stock Surges (AP),AP - Shares of Kmart Holding Corp. surged 17 percent Monday after the discount retailer reported a profit for the second quarter and said chairman and majority owner Edward Lampert is now free to invest the company's  #36;2.6 billion in surplus cash.,"AP - Kmart Stores Inc., the world #39;s largest retailer, posted a $1 billion profit in its second quarter, a sharp rise in its stock price and a sharp drop in its stock price."
87,1,Fischer's Fiancee: Marriage Plans Genuine (AP),"AP - Former chess champion Bobby Fischer's announcement thathe is engaged to a Japanese woman could win him sympathy among Japanese officials and help him avoid deportation to the United States, his fiancee and one of his supporters said Tuesday.","AP - The marriage plans of the late John Fischer, who was a fiancee of the late John Fischer, are genuine."
88,1,U.S. Misses Cut in Olympic 100 Free,"ATHENS, Greece - Top American sprinters Jason Lezak and Ian Crocker missed the cut in the Olympic 100-meter freestyle preliminaries Tuesday, a stunning blow for a country that had always done well in the event.    Pieter van den Hoogenband of the Netherlands and Australian Ian Thorpe advanced to the evening semifinal a day after dueling teenager Michael Phelps in the 200 freestyle, won by Thorpe...","The U.S. swam to a 6-3, 6-4 victory over the Czech Republic in the 100 freestyle at the Olympic Games on Saturday."
